8.400000000000000000e+01,4.182901313616260097e+01,5.576326076600000153e-03,-2.773785627422969924e+01,9.034046816999999341e-03,2.059926461165000056e-01,4.687371192079999721e-02,0.000000000000000000e+00
8.100000000000000000e+01,3.858695471649910047e+01,5.974523837599999589e-03,-2.653571616577420045e+01,7.967355805199999308e-03,2.088588258943999965e-01,2.959552505570000117e-02,0.000000000000000000e+00
2.900000000000000000e+01,4.054601771010400313e+01,2.669731482499999864e-03,-2.740590234239829925e+01,5.030125603300000109e-03,3.540512478528999862e-01,3.744709699019999755e-02,1.000000000000000000e+00
7.900000000000000000e+01,4.105135236774169982e+01,3.974433264399999596e-03,-2.717770812778070066e+01,7.521801701000000069e-03,2.594044171273000021e-01,3.745255541490000173e-02,2.000000000000000000e+00
5.300000000000000000e+01,4.106312996468920318e+01,3.938336897000000066e-03,-2.721839308217879960e+01,7.536531681899999967e-03,2.882452924282000173e-01,3.896187546020000309e-02,3.000000000000000000e+00
6.000000000000000000e+01,4.040822542332980305e+01,3.376210672099999935e-03,-2.640648294154160070e+01,5.412819347400000397e-03,2.722392953150999939e-01,3.334813124259999872e-02,4.000000000000000000e+00
2.400000000000000000e+01,4.105846819754000165e+01,3.777280198099999993e-03,-2.719390973234909836e+01,7.662827189600000290e-03,2.443532534244000076e-01,3.837131303519999981e-02,5.000000000000000000e+00
1.000000000000000000e+00,4.109385624255349967e+01,4.062695888699999723e-03,-2.727264312314679984e+01,7.802860335299999575e-03,2.485209740517999866e-01,3.930068013069999699e-02,6.000000000000000000e+00
6.200000000000000000e+01,4.105472321419139803e+01,4.181409650800000342e-03,-2.715997468727369935e+01,7.489396166300000407e-03,2.693964302228999963e-01,4.143012337620000096e-02,7.000000000000000000e+00
2.400000000000000000e+01,4.106344759353900287e+01,4.028832064199999903e-03,-2.723658154937159992e+01,7.512142358800000426e-03,3.199328802056000121e-01,3.719160715790000016e-02,8.000000000000000000e+00
